Characteristic	Subcharacteristics	Definition	External Practice Source	External Practice Name	External Practice Group	Score Annotator A	Score Annotator B
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Training is reproducible.	TESTS FOR ML INFRASTRUCTURE	3	3
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Model specs are unit tested.	TESTS FOR ML INFRASTRUCTURE	2	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	The ML pipeline is Integration tested	TESTS FOR ML INFRASTRUCTURE	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Model quality is validated before serving	TESTS FOR ML INFRASTRUCTURE	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	The model is debuggable	TESTS FOR ML INFRASTRUCTURE	2	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Models are canaried before serving	TESTS FOR ML INFRASTRUCTURE	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Serving models can be rolled back.	TESTS FOR ML INFRASTRUCTURE	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Dependency changes result in notification	MONITORING TESTS FOR ML	2	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Data invariants hold for inputs	MONITORING TESTS FOR ML	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Training and serving are not skewed	MONITORING TESTS FOR ML	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Models are not too stale	MONITORING TESTS FOR ML	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Models are numerically stable	MONITORING TESTS FOR ML	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Computing performance has not regressed	MONITORING TESTS FOR ML	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Prediction quality has not regressed.	MONITORING TESTS FOR ML	1	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Feature expectations are captured in a schema	TESTS FOR FEATURES AND DATA	0	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	All features are beneficial.	TESTS FOR FEATURES AND DATA	3	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	No feature’s cost is too much.	TESTS FOR FEATURES AND DATA	4	4
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Features adhere to meta-level requirements.	TESTS FOR FEATURES AND DATA	1	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	The data pipeline has appropriate privacy controls.	TESTS FOR FEATURES AND DATA	0	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	New features can be added quickly.	TESTS FOR FEATURES AND DATA	3	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	All input feature code is tested.	TESTS FOR FEATURES AND DATA	2	1
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Model specs are reviewed and submitted.	TESTS FOR MODEL DEVELOPMENT	1	1
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Offline and online metrics correlate.	TESTS FOR MODEL DEVELOPMENT	2	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	All hyperparameters have been tuned.	TESTS FOR MODEL DEVELOPMENT	3	2
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	The impact of model staleness is known.	TESTS FOR MODEL DEVELOPMENT	3	2
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	A simpler model is not better.	TESTS FOR MODEL DEVELOPMENT	3	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Model quality is sufficient on important data slices.	TESTS FOR MODEL DEVELOPMENT	0	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	The model is tested for considerations of inclusion.	TESTS FOR MODEL DEVELOPMENT	0	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Training is reproducible.	TESTS FOR ML INFRASTRUCTURE	2	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Model specs are unit tested.	TESTS FOR ML INFRASTRUCTURE	1	1
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	The ML pipeline is Integration tested	TESTS FOR ML INFRASTRUCTURE	2	1
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Model quality is validated before serving	TESTS FOR ML INFRASTRUCTURE	1	1
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	The model is debuggable	TESTS FOR ML INFRASTRUCTURE	2	1
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Models are canaried before serving	TESTS FOR ML INFRASTRUCTURE	1	1
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Serving models can be rolled back.	TESTS FOR ML INFRASTRUCTURE	1	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Dependency changes result in notification	MONITORING TESTS FOR ML	1	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Data invariants hold for inputs	MONITORING TESTS FOR ML	0	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Training and serving are not skewed	MONITORING TESTS FOR ML	3	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Models are not too stale	MONITORING TESTS FOR ML	3	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Models are numerically stable	MONITORING TESTS FOR ML	2	2
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Computing performance has not regressed	MONITORING TESTS FOR ML	3	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Breck	Prediction quality has not regressed.	MONITORING TESTS FOR ML	3	3
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Feature expectations are captured in a schema	TESTS FOR FEATURES AND DATA	1	0
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	All features are beneficial.	TESTS FOR FEATURES AND DATA	3	3
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	No feature’s cost is too much.	TESTS FOR FEATURES AND DATA	4	4
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Features adhere to meta-level requirements.	TESTS FOR FEATURES AND DATA	1	0
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	The data pipeline has appropriate privacy controls.	TESTS FOR FEATURES AND DATA	0	0
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	New features can be added quickly.	TESTS FOR FEATURES AND DATA	3	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	All input feature code is tested.	TESTS FOR FEATURES AND DATA	1	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Model specs are reviewed and submitted.	TESTS FOR MODEL DEVELOPMENT	1	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Offline and online metrics correlate.	TESTS FOR MODEL DEVELOPMENT	0	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	All hyperparameters have been tuned.	TESTS FOR MODEL DEVELOPMENT	2	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	The impact of model staleness is known.	TESTS FOR MODEL DEVELOPMENT	1	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	A simpler model is not better.	TESTS FOR MODEL DEVELOPMENT	3	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Model quality is sufficient on important data slices.	TESTS FOR MODEL DEVELOPMENT	0	0
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	The model is tested for considerations of inclusion.	TESTS FOR MODEL DEVELOPMENT	0	0
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Training is reproducible.	TESTS FOR ML INFRASTRUCTURE	2	3
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Model specs are unit tested.	TESTS FOR ML INFRASTRUCTURE	1	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	The ML pipeline is Integration tested	TESTS FOR ML INFRASTRUCTURE	1	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Model quality is validated before serving	TESTS FOR ML INFRASTRUCTURE	2	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	The model is debuggable	TESTS FOR ML INFRASTRUCTURE	1	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Models are canaried before serving	TESTS FOR ML INFRASTRUCTURE	2	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Serving models can be rolled back.	TESTS FOR ML INFRASTRUCTURE	1	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Dependency changes result in notification	MONITORING TESTS FOR ML	2	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Data invariants hold for inputs	MONITORING TESTS FOR ML	1	1
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Training and serving are not skewed	MONITORING TESTS FOR ML	2	0
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Models are not too stale	MONITORING TESTS FOR ML	2	0
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Models are numerically stable	MONITORING TESTS FOR ML	1	0
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Computing performance has not regressed	MONITORING TESTS FOR ML	3	3
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Breck	Prediction quality has not regressed.	MONITORING TESTS FOR ML	2	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	Feature expectations are captured in a schema	TESTS FOR FEATURES AND DATA	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	All features are beneficial.	TESTS FOR FEATURES AND DATA	0	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	No feature’s cost is too much.	TESTS FOR FEATURES AND DATA	2	2
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	Features adhere to meta-level requirements.	TESTS FOR FEATURES AND DATA	2	2
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	The data pipeline has appropriate privacy controls.	TESTS FOR FEATURES AND DATA	2	2
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	New features can be added quickly.	TESTS FOR FEATURES AND DATA	0	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	All input feature code is tested.	TESTS FOR FEATURES AND DATA	3	3
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	Model specs are reviewed and submitted.	TESTS FOR MODEL DEVELOPMENT	0	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	Offline and online metrics correlate.	TESTS FOR MODEL DEVELOPMENT	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	All hyperparameters have been tuned.	TESTS FOR MODEL DEVELOPMENT	0	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	The impact of model staleness is known.	TESTS FOR MODEL DEVELOPMENT	0	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	A simpler model is not better.	TESTS FOR MODEL DEVELOPMENT	0	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	Model quality is sufficient on important data slices.	TESTS FOR MODEL DEVELOPMENT	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Breck	The model is tested for considerations of inclusion.	TESTS FOR MODEL DEVELOPMENT	1	0
