Characteristic	Subcharacteristics	Definition	External Practice Source	External Practice Name	External Practice Group	Score Annotator A	Score Annotator B
Robustness	Scalability	The extent of an ML system to handle a growing amount of work by adding resources to the system.	Serban	Actively Remove or Archive Features That are Not Used	Training	2	0
Robustness	Scalability	The extent of an ML system to handle a growing amount of work by adding resources to the system.	Serban	Peer Review Training Scripts	Training	2	0
Robustness	Scalability	The extent of an ML system to handle a growing amount of work by adding resources to the system.	Serban	Continuously Monitor the Behaviour of Deployed Models	Deployment	1	3
Robustness	Scalability	The extent of an ML system to handle a growing amount of work by adding resources to the system.	Serban	Communicate, Align, and Collaborate With Others	Team	2	0
Modifiability	Extensibility	The ease with which a system can be modified, in order to be used for another purpose.	Serban	Write Reusable Scripts for Data Cleaning and Merging	Data	2	4
Modifiability	Extensibility	The ease with which a system can be modified, in order to be used for another purpose.	Serban	Actively Remove or Archive Features That are Not Used	Training	1	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Ensure Data Labelling is Performed in a Strictly Controlled Process	Data	1	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Share a Clearly Defined Training Objective within the Team	Training	0	2
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Capture the Training Objective in a Metric that is Easy to Measure and Understand	Training	0	2
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Employ Interpretable Models When Possible	Training	0	2
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Enable Parallel Training Experiments	Training	3	1
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Share Status and Outcomes of Experiments Within the Team	Training	0	2
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Assure Application Security	Coding	2	0
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Work Against a Shared Backlog	Team	1	3
Modifiability	Modularity	The extent to which an ML system consists of components of limited functionality that interrelate with each other.	Serban	Use Versioning for Data, Model, Configurations and Training Scripts	Training	0	2
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Write Reusable Scripts for Data Cleaning and Merging	Data	0	2
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Use Continuous Integration	Coding	1	3
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Use A Collaborative Development Platform	Team	0	2
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Work Against a Shared Backlog	Team	0	2
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Communicate, Align, and Collaborate With Others	Team	1	3
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Write Reusable Scripts for Data Cleaning and Merging	Data	1	3
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Test for Social Bias in Training Data	Data	2	0
Responsibility	Fairness	The extent to which an ML system prevents unjust predictions towards protected attributes (race, gender, income, etc).	Serban	Actively Remove or Archive Features That are Not Used	Training	2	0
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Check that Input Data is Complete, Balanced and Well Distributed	Data	2	3
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Ensure Data Labelling is Performed in a Strictly Controlled Process	Data	3	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Use Privacy-Preserving Machine Learning Techniques	Data	0	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Make Data Sets Available on Shared Infrastructure (private or public)	Data	0	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Share a Clearly Defined Training Objective within the Team	Training	1	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Test all Feature Extraction Code	Training	3	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Assign an Owner to Each Feature and Document its Rationale	Training	1	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Enable Parallel Training Experiments	Training	3	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Automate Hyper-Parameter Optimisation	Training	3	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Automate Configuration of Algorithms or Model Structure	Training	3	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Assure Application Security	Coding	0	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Automate Model Deployment	Deployment	0	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Continuously Monitor the Behaviour of Deployed Models	Deployment	2	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Communicate, Align, and Collaborate With Others	Team	2	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Establish Responsible AI Values	Governance	0	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Perform Risk Assessments	Governance	0	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Enforce Fairness and Privacy	Governance	0	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Have Your Application Audited	Governance	1	0
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Use Sanity Checks for All External Data Sources	Data	3	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Test for Social Bias in Training Data	Data	1	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Ensure Data Labelling is Performed in a Strictly Controlled Process	Data	3	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Use Privacy-Preserving Machine Learning Techniques	Data	1	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Make Data Sets Available on Shared Infrastructure (private or public)	Data	0	1
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Share a Clearly Defined Training Objective within the Team	Training	2	3
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Capture the Training Objective in a Metric that is Easy to Measure and Understand	Training	2	3
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Test all Feature Extraction Code	Training	3	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Actively Remove or Archive Features That are Not Used	Training	1	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Enable Parallel Training Experiments	Training	0	1
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Use Versioning for Data, Model, Configurations and Training Scripts	Training	0	1
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Assure Application Security	Coding	2	1
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Automate Model Deployment	Deployment	1	0
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Enable Shadow Deployment	Deployment	1	0
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Perform Checks to Detect Skew between Models	Deployment	2	3
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Log Production Predictions with the Model's Version and Input Data	Deployment	0	1
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Use A Collaborative Development Platform	Team	0	1
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Work Against a Shared Backlog	Team	0	1
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Communicate, Align, and Collaborate With Others	Team	2	3
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Decide Trade-Offs through Defined Team Process	Team	2	3
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Establish Responsible AI Values	Governance	0	1
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Inform Users on Machine Learning Usage	Governance	2	1
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Use Sanity Checks for All External Data Sources	Data	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Use Privacy-Preserving Machine Learning Techniques	Data	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Test all Feature Extraction Code	Training	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Enable Parallel Training Experiments	Training	0	1
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Run Automated Regression Tests	Coding	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Use Continuous Integration	Coding	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Assure Application Security	Coding	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Automate Model Deployment	Deployment	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Enable Shadow Deployment	Deployment	2	3
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Continuously Monitor the Behaviour of Deployed Models	Deployment	2	3
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Provide Audit Trails	Deployment	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Use A Collaborative Development Platform	Team	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Communicate, Align, and Collaborate With Others	Team	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Decide Trade-Offs through Defined Team Process	Team	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Serban	Explain Results and Decisions to Users	Governance	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Ensure Data Labelling is Performed in a Strictly Controlled Process	Data	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Use Privacy-Preserving Machine Learning Techniques	Data	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Capture the Training Objective in a Metric that is Easy to Measure and Understand	Training	0	1
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Test all Feature Extraction Code	Training	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Employ Interpretable Models When Possible	Training	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Automate Feature Generation and Selection	Training	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Automate Hyper-Parameter Optimisation	Training	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Automate Configuration of Algorithms or Model Structure	Training	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Use Versioning for Data, Model, Configurations and Training Scripts	Training	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Run Automated Regression Tests	Coding	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Use Continuous Integration	Coding	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Use Static Analysis to Check Code Quality	Coding	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Assure Application Security	Coding	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Automate Model Deployment	Deployment	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Continuously Monitor the Behaviour of Deployed Models	Deployment	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Log Production Predictions with the Model's Version and Input Data	Deployment	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Provide Audit Trails	Deployment	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Work Against a Shared Backlog	Team	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Perform Risk Assessments	Governance	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Enforce Fairness and Privacy	Governance	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Have Your Application Audited	Governance	1	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Use Sanity Checks for All External Data Sources	Data	1	2
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Test for Social Bias in Training Data	Data	1	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Write Reusable Scripts for Data Cleaning and Merging	Data	3	2
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Make Data Sets Available on Shared Infrastructure (private or public)	Data	1	2
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Capture the Training Objective in a Metric that is Easy to Measure and Understand	Training	1	2
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Assign an Owner to Each Feature and Document its Rationale	Training	1	2
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Actively Remove or Archive Features That are Not Used	Training	4	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Employ Interpretable Models When Possible	Training	0	1
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Enable Parallel Training Experiments	Training	2	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Automate Feature Generation and Selection	Training	4	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Automate Hyper-Parameter Optimisation	Training	4	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Automate Configuration of Algorithms or Model Structure	Training	4	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Use Versioning for Data, Model, Configurations and Training Scripts	Training	1	2
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Run Automated Regression Tests	Coding	2	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Use Continuous Integration	Coding	1	2
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Use Static Analysis to Check Code Quality	Coding	1	2
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Assure Application Security	Coding	2	1
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Enable Shadow Deployment	Deployment	2	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Continuously Monitor the Behaviour of Deployed Models	Deployment	2	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Perform Checks to Detect Skew between Models	Deployment	2	3
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Enable Automatic Roll Backs for Production Models	Deployment	2	1
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Work Against a Shared Backlog	Team	2	1
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Establish Responsible AI Values	Governance	1	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Perform Risk Assessments	Governance	1	0
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Provide Safe Channels to Raise Concerns	Governance	1	0
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Use Sanity Checks for All External Data Sources	Data	2	3
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Write Reusable Scripts for Data Cleaning and Merging	Data	3	4
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Ensure Data Labelling is Performed in a Strictly Controlled Process	Data	1	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Share a Clearly Defined Training Objective within the Team	Training	1	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Test all Feature Extraction Code	Training	2	3
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Actively Remove or Archive Features That are Not Used	Training	4	3
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Employ Interpretable Models When Possible	Training	0	1
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Peer Review Training Scripts	Training	2	3
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Enable Parallel Training Experiments	Training	4	3
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Continuously Measure Model Quality and Performance	Training	1	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Share Status and Outcomes of Experiments Within the Team	Training	0	1
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Assure Application Security	Coding	1	0
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Automate Model Deployment	Deployment	4	3
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Perform Checks to Detect Skew between Models	Deployment	1	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Log Production Predictions with the Model's Version and Input Data	Deployment	1	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Work Against a Shared Backlog	Team	2	3
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Decide Trade-Offs through Defined Team Process	Team	2	3
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Establish Responsible AI Values	Governance	0	1
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Inform Users on Machine Learning Usage	Governance	0	1
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Explain Results and Decisions to Users	Governance	0	1
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Have Your Application Audited	Governance	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Check that Input Data is Complete, Balanced and Well Distributed	Data	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Test for Social Bias in Training Data	Data	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Ensure Data Labelling is Performed in a Strictly Controlled Process	Data	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Prevent Discriminatory Data Attributes Used As Model Features	Data	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Use Privacy-Preserving Machine Learning Techniques	Data	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Test all Feature Extraction Code	Training	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Assign an Owner to Each Feature and Document its Rationale	Training	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Employ Interpretable Models When Possible	Training	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Peer Review Training Scripts	Training	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Automate Feature Generation and Selection	Training	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Automate Hyper-Parameter Optimisation	Training	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Automate Configuration of Algorithms or Model Structure	Training	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Continuously Measure Model Quality and Performance	Training	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Assess and Manage Subgroup Bias	Training	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Run Automated Regression Tests	Coding	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Use Continuous Integration	Coding	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Assure Application Security	Coding	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Automate Model Deployment	Deployment	3	2
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Enable Shadow Deployment	Deployment	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Continuously Monitor the Behaviour of Deployed Models	Deployment	2	3
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Enable Automatic Roll Backs for Production Models	Deployment	4	3
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Communicate, Align, and Collaborate With Others	Team	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Perform Risk Assessments	Governance	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Enforce Fairness and Privacy	Governance	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Inform Users on Machine Learning Usage	Governance	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Explain Results and Decisions to Users	Governance	2	1
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Provide Safe Channels to Raise Concerns	Governance	1	0
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Have Your Application Audited	Governance	1	0
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Use Sanity Checks for All External Data Sources	Data	4	3
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Write Reusable Scripts for Data Cleaning and Merging	Data	0	1
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Use Privacy-Preserving Machine Learning Techniques	Data	1	0
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Test all Feature Extraction Code	Training	4	3
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Assign an Owner to Each Feature and Document its Rationale	Training	2	1
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Actively Remove or Archive Features That are Not Used	Training	2	3
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Automate Feature Generation and Selection	Training	1	0
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Automate Hyper-Parameter Optimisation	Training	1	0
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Automate Configuration of Algorithms or Model Structure	Training	1	0
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Assess and Manage Subgroup Bias	Training	1	0
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Run Automated Regression Tests	Coding	4	3
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Use Continuous Integration	Coding	2	1
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Use Static Analysis to Check Code Quality	Coding	1	0
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Automate Model Deployment	Deployment	1	2
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Use A Collaborative Development Platform	Team	1	0
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Communicate, Align, and Collaborate With Others	Team	1	0
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Perform Risk Assessments	Governance	1	0
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Enforce Fairness and Privacy	Governance	2	1
